ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
2335,Big Dipper,Riverview Park,Chicago,Illinois,United States,Operated,1920,1967,Wood,,Sit Down,,,,,0,,
2336,Loop The Loop,Ghost Town on the River,Louisville,Kentucky,United States,Operated,,,Wood,Extreme,Sit Down,,,,,1,,
2337,Scenic Railway,Ghost Town on the River,Louisville,Kentucky,United States,Operated,,,Wood,,Sit Down,,,,,0,,
2338,Racing Derby,Ghost Town on the River,Louisville,Kentucky,United States,Operated,1910,1936,Wood,,Sit Down,,,,,0,,
2339,Velvet Racer,Ghost Town on the River,Louisville,Kentucky,United States,Operated,1936,1951,Wood,,Sit Down,,,,,0,,
2340,Comet,Ghost Town on the River,Louisville,Kentucky,United States,Operated,1951,1976-05-25,Wood,,Sit Down,,,,,0,,
2341,Little Comet,Ghost Town on the River,Louisville,Kentucky,United States,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
2342,Scenic Railway,White City,Louisville,Kentucky,United States,Operated,1907,1921,Wood,,Sit Down,,,,,0,,
2343,Little Dipper,Kiddieland Amusement Park,Louisville,Kentucky,United States,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
2344,Comet Jr.,Alabama State Fairgrounds,Birmingham,Alabama,United States,Operated,,,Wood,Family,Sit Down,,,,,0,,
2345,Wildcat,Joyland Park,Lexington,Kentucky,United States,Operated,1926,1964,Wood,,Sit Down,,,,,0,,
2346,Little D,Island in Pigeon Forge,Pigeon Forge,Tennessee,United States,Operated,,,Steel,Kiddie,Sit Down,280,15,,,0,,
2347,White Flyer,Riverview Park,Chicago,Illinois,United States,Operated,1904,1920,Wood,,Sit Down,,,,,0,,
2348,Pikes Peak Scenic Railway,Riverview Park,Chicago,Illinois,United States,Operated,1907,1911,Wood,,Sit Down,,,,,0,,
2349,Royal Gorge Scenic Railway,Riverview Park,Chicago,Illinois,United States,Operated,1908,1920,Wood,,Sit Down,,,,,0,,
2350,Aerial Coaster,Riverview Park,Chicago,Illinois,United States,Operated,1908,1910,Steel,,Suspended,,,,,0,,
2351,Velvet Coaster,Riverview Park,Chicago,Illinois,United States,Operated,1909,1919,Wood,,Sit Down,4700,,,,0,,
2352,Derby Racer,Riverview Park,Chicago,Illinois,United States,Operated,1910,1931,Wood,,Sit Down,,66,,,0,,
2353,Blue Streak,Riverview Park,Chicago,Illinois,United States,Operated,1911,1923,Wood,,Sit Down,,,,,0,,
2354,Gee Wiz,Riverview Park,Chicago,Illinois,United States,Operated,1912,1963,Wood,,Sit Down,3500,,,,0,,
2355,Jack Rabbit,Riverview Park,Chicago,Illinois,United States,Operated,1914,1932,Wood,,Sit Down,,,,,0,,
2356,Cannon Ball,Riverview Park,Chicago,Illinois,United States,Operated,1919,1925,Wood,,Sit Down,,,,,0,,
2357,Fireball,Riverview Park,Chicago,Illinois,United States,Operated,1923,1967,Wood,,Sit Down,,,,,0,,
2358,Kiddie Bobs,Riverview Park,Chicago,Illinois,United States,Operated,1926,1934,Wood,Family,Sit Down,,,,,0,,
2359,Flying Turns,Riverview Park,Chicago,Illinois,United States,Operated,1935,1967,Wood,,Bobsled,,,,,0,,
2360,Wild Mouse,Riverview Park,Chicago,Illinois,United States,Operated,1958,1967,Steel,Thrill,Sit Down,,,,,0,,
2361,Jetstream,Riverview Park,Chicago,Illinois,United States,Operated,1964,1967,Wood,,Sit Down,,,,,0,,
2362,Broadway Trip,Cedar Point,Sandusky,Ohio,United States,Operated,,,Steel,Family,Sit Down,,,,,0,,
2363,Dragon,Playland Eldorado,São Paulo,São Paulo,Brazil,Operated,,,Steel,Family,Sit Down,,,,,0,,
2364,Top,Riverview Park,Chicago,Illinois,United States,Operated,1907,1916,Wood,,Sit Down,,,,,0,,
2365,Galaxy,Fantasilandia,Santiago,Santiago,Chile,Operated,1978-10,2013-02-18,Steel,Thrill,Sit Down,,,,,0,,
2366,Wild Mouse,Kennywood,West Mifflin,Pennsylvania,United States,Operated,1958,1960,Steel,Thrill,Sit Down,,,,,0,,
2367,Wild Mouse,Quassy Amusement Park,Middlebury,Connecticut,United States,Operated,1960,1983,Steel,Thrill,Sit Down,,,,,0,,
2368,Jack Rabbit,Carousel Gardens Amusement Park,New Orleans,Louisiana,United States,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
2369,Zyklon,Northampton,Northamptonshire,England,United Kingdom,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
