ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
7024,Sky Railway,Happy World,Yangon,Yangon,Myanmar,Operating,2015,,Steel,Kiddie,Sit Down,,,,,0,,
7026,Crazy Train,Warrington,Cheshire ,England,United Kingdom,Operated,2015,2018,Steel,Family,Sit Down,764.4,30.2,,24.6,0,,0:53
7027,Terror Twister / 暴风眼,Gangzha,Nantong,Jiangsu,China,Operating,2013-04-29,,Steel,Extreme,Sit Down,492.2,151.6,,65.3,2,,0:50
7037,Buffalo Coaster,Zoomarine,Albufeira,Faro,Portugal,Operating,2013,,Steel,Family,Sit Down,,,,,0,,
7107,Magic Mountain,New Jesolandia,Jesolo,Veneto,Italy,Operating,2014,,Steel,Family,Sit Down,,,,,0,,
7132,Wildcat,Erie Beach Park,Fort Erie,Ontario,Canada,Operated,1928,1930,Wood,,Sit Down,,,,,0,,
7182,Jumbo Jet,Canadian National Exhibition,Toronto,Ontario,Canada,Operated,1982,1982,Steel,Thrill,Sit Down,,,,,0,,
7240,Wilde Maus,Spreepark,Berlin,Berlin,Germany,Operated,,,Wood,Thrill,Sit Down,,,,,0,,
7289,Tambang Mas Coaster,Suroboyo Carnival Night Market,Surabaya,East Java,Indonesia,Operating,2014,,Steel,Thrill,Sit Down,1312.3,49.3,,,0,,
7326,Korsan Adasi,Tuzla,Istanbul,Istanbul,Turkey,Operating,2015-07-08,,,,,,,,,,,
7378,Roller Coaster / 沙漠飞鹰,Lianjiang,Fuzhou,Fujian,China,Operating,2013-10-01,,Steel,Extreme,Inverted,2585.3,105,,46.6,4,,
7395,Red Fire,Tuzla,Istanbul,Istanbul,Turkey,Operating,2015-07-08,,Steel,Extreme,Sit Down,3215.3,180.3,,68.3,2,,
7409,Figure Eight,Southend On Sea,Essex,England,United Kingdom,Operated,1910,1947,Wood,,Sit Down,,,,,0,,
7410,Family Roller Coaster,Wildlife World,Litchfield Park,Arizona,United States,Operating,2016-02-01,,Steel,Family,Sit Down,,,,,0,,
7436,Range,YesterLand Farm,Canton,Texas,United States,Operating,2013-09-21,,Steel,Kiddie,Sit Down,,,,,0,,
7437,Wild Mouse,Keansburg Amusement Park,Keansburg,New Jersey,United States,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
7444,Abyss,Adventure World,Bibra Lake,Western Australia,Australia,Operating,2013-11-01,,Steel,Extreme,Sit Down,2066.9,98.4,100,52.8,3,,2:00
7458,unknown,Hongshan,Chifeng,Nei Mongol,China,Operating,2011,,Steel,Family,Sit Down,,,,,0,,
