ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
9343,Free Fall,Wonderland Amusement Park,Rawalpindi,Punjab,Pakistan,Operating,2010,,Steel,,Sit Down,,,,,0,,
9344,Wild Kitty,Frontier City,Oklahoma City,Oklahoma,United States,Operated,2013,2018,Steel,Kiddie,Sit Down,,12,,,0,,
9346,Rutschbahn,Luna Park,Berlin,Berlin,Germany,Operated,,,Wood,,Sit Down,,,,,0,,
9348,unknown,Lucheng,Wenzhou,Zhejiang,China,Operating,2004,,Steel,Thrill,Sit Down,,,,,0,,
9350,Spinning Coaster / 自旋滑车,Foreigner Street,Nan'an,Chongqing,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
9351,unknown,Foreigner Street,Nan'an,Chongqing,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
9352,Twister,Gröna Lund,Stockholm,Stockholm,Sweden,Operating,2011-05-07,,Wood,Thrill,Sit Down,1544,51,46,38,0,56,
9354,Outer Space Flying Car / 太空飞车,Heping Park,Hongkou,Shanghai,China,Operating,2003,,Steel,Family,Sit Down,,,,,0,,
9356,Lightning Bolt,MGM Grand Adventures,Las Vegas,Nevada,United States,Operated,1993,1996,Steel,Family,Sit Down,2400,69,,,0,,
9359,Big Worm Inertia Train / 大青虫惯性列车,Zhongshan Park,Changning,Shanghai,China,Operated,,,Steel,Family,Sit Down,459.3,14.4,,,0,,
9360,Fantawild Dreamland / 方特梦幻王国,Jiujiang,Wuhu,Anhui,China,Operating,2010-12-08,,,,,,,,,,,
9361,Golden Whirlwind / 极速飞车,Jiujiang,Wuhu,Anhui,China,Operating,2010-12-08,,Steel,Extreme,Sit Down,1624,75.5,,43.5,3,,1:30
9363,Serpent / الثعبان,Sindibad,Casablanca,Casablanca-Settat,Morocco,Operating,2015,,Steel,Extreme,Sit Down,1184.4,72.2,,43.5,3,97,
9368,Gliding Dragon / 滑行龙,Lu Xun Park,Hongkou,Shanghai,China,Operating,2010,,Steel,Family,Sit Down,,,,,0,,
9370,Catapiller,Barmouth,Gwynedd,Wales,United Kingdom,Operating,2006,,Steel,Family,Sit Down,,,,,0,,
9372,Outer Space Flying Car / 太空飞车,Dongpo,Meishan,Sichuan,China,Operated,2008,2014-08-01,Steel,Family,Sit Down,,,,,0,,
9373,Wave Shuttle / 浪涛穿梭,Dongpo,Meishan,Sichuan,China,Operated,2008,2014-08-01,Steel,Family,Sit Down,,,,,0,,
9377,Skatteøen,Djurs Sommerland,Nimtofte,Midtjylland,Denmark,Operating,2011-05-07,,Steel,Thrill,Sit Down,1492.8,91.9,72.2,43.5,0,,
9379,Dragon,Perimágico,Cuatlitlán Itzcalli,México,Mexico,Operated,,,Steel,Family,Sit Down,,,,,0,,
9380,Oruga Feliz,Perimágico,Cuatlitlán Itzcalli,México,Mexico,Operated,2010,2015,Steel,Family,Sit Down,,,,,0,,
9384,unknown,Bude,Cornwall,England,United Kingdom,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
9385,Roller Coaster,Millbrook Park,New Boston,Ohio,United States,Operated,1911,1916,Wood,,Sit Down,,,,,0,,
